"<b>{0}</b> count lines created.","<b>{0}</b> telregels aangemaakt."
"{0} location(s) corrected.","{0} locatie(s) gecorrigeerd."
"{0} units moved to Outbound Staging.","{0} eenheden verplaatst naar Outbound Staging."
Action,Actie
Active,Actief
"Active Locations","Actieve locaties"
"Add at least one zone before generating count lines.","Voeg minimaal een zone toe voordat je telregels genereert."
"Allocating location stock...","Locatievoorraad alloceren..."
Approved,Goedgekeurd
Batch,Batch
"Batch No",Batchnr.
Both,Beide
"Check Date",Controledatum
"Check Type","Controle type"
"Completion %","Volledigheid %"
"Count Date",Teldatum
"Count Lines",Telregels
"Counted By","Geteld door"
"Counted Qty","Getelde hoeveelheid"
"Cross-dock Location","Cross-dock locatie"
"Cross-dock Settings","Cross-dock instellingen"
"Current Stock","Huidige voorraad"
Customer,Klant
"Customer Required","Klant vereist"
"Customer for whom this line is received. Copied to WMS location stock.","Klant voor wie deze regel wordt ontvangen. Wordt overgenomen op de WMS locatievoorraad."
Date,Datum
Delivered,Geleverd
"Difference",Verschil
Discrepancies,Afwijkingen
"Do you also want to add","Wil je ook"
"Do you want to update the Pick List with the WMS values?","Wil je de Pick List bijwerken met de WMS waarden?"
"Enter the approved and rejected quantities per line. On submit, approved items are moved to RECV and rejected items to Quarantine.","Vul per regel de goedgekeurde en afgekeurde hoeveelheden in. Bij indienen worden goedgekeurde items naar RECV en afgekeurde naar Quarantine verplaatst."
"Enter the counted quantities per line. On submit, differences are corrected automatically in WMS stock.","Vul de getelde hoeveelheden in per regel. Bij indienen worden afwijkingen automatisch gecorrigeerd in de WMS voorraad."
"Existing Location Pick","Bestaande Location Pick"
"ERPNext Qty","ERPNext hoeveelheid"
"Fill in the ""Customer (WMS)"" field before enabling cross-dock.","Vul eerst het veld ""Customer (WMS)"" in voordat je cross-dock activeert."
Generate,Genereren
"Generate Count Lines","Telregels genereren"
"Generate Location Pick","Location Pick genereren"
"Generating count lines...","Telregels genereren..."
"If checked: the item goes to a Cross-dock Staging location for direct flow-through.","Als aangevinkt: item gaat naar Cross-dock Staging locatie voor directe doorsluizing."
"If checked: the item goes to a QC Hold location and a WMS QC Check is created.","Als aangevinkt: item gaat naar QC Hold locatie en er wordt een WMS QC Check aangemaakt."
"Inbound Settings","Inbound instellingen"
Inspector,Controleur
"Insufficient stock on {0}: available {1}, requested {2} for Item {3} Batch {4}.","Onvoldoende voorraad op {0}: beschikbaar {1}, gevraagd {2} voor Item {3} Batch {4}."
Item,Artikel
"Item Code",Artikelcode
"Item Group",Artikelgroep
"Item Name",Artikelnaam
"Linked Sales Order for this cross-dock shipment.","Gekoppelde Sales Order voor deze cross-dock zending."
